year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,1516,11980,3645925,41332909,141,1463,-8403,-9096,-518,-2288,-16175,-31315,-25096,-42699
2021,2096,7722,5311682,23719626,209,1142,9012,9669,1741,11707,24832,44541,35585,65917
2022,2966,11418,7604793,38210035,272,1697,-1913,-1812,1423,4814,23321,39291,22831,42293
2023,6359,7965,16769876,26511932,427,870,3829,1393,1032,7216,13652,19542,18513,28151
2024,5174,10778,13741889,38211372,378,1264,1786,-82,642,4376,11365,14498,13793,18792
2025,4468,12685,11938179,45505143,291,1559,126,220,976,3884,7595,11213,8697,15317
2026,6152,14458,17823687,51671213,389,1666,473,743,933,3152,6201,9148,7607,13043
2027,6113,13360,18164015,47769575,400,1744,675,749,636,2212,5905,9814,7216,12775
2028,5557,14378,16339386,50381971,426,1721,1016,820,-24,1088,6352,10481,7344,12389
2029,6007,14475,17809904,50444373,401,1664,1558,1611,174,1824,7744,13235,9476,16670
2030,4656,13691,13112325,48889451,349,1699,2413,2076,4,694,2989,7255,5406,10025
2031,6392,14841,18061591,50547665,478,1673,256,510,-370,1212,3149,6536,3035,8258
2032,5889,15349,16961963,55587413,360,1712,1631,1693,-248,1480,4756,7740,6139,10913
2033,6122,16346,17986947,59906329,434,2198,1556,1881,-315,915,3757,7505,4998,10301
2034,5256,17829,14676834,60152979,411,2057,1801,2098,-478,1769,6057,11101,7380,14968
2035,4629,15338,12757270,57252239,256,1825,1812,2072,-317,-515,3784,10054,5279,11611
2036,5803,15149,17424176,55618783,310,2132,1377,2322,-318,-109,5526,11574,6585,13787
2037,5464,16122,15715373,63498929,362,2548,1650,2855,-480,-40,4847,12865,6017,15680
2038,5721,16626,17534318,65210215,350,2679,1026,2046,-472,27,5891,11599,6445,13672
2039,5039,17558,14509497,66826735,376,2737,1104,2700,-601,60,5519,11327,6022,14087
2040,4309,14927,12172719,61476717,287,2304,1127,2341,-211,-601,7156,11228,8072,12968
2041,6167,18737,18295558,78877392,393,3561,1282,3242,-552,-93,4796,11016,5526,14165
2042,6416,17039,20389331,62366728,275,2785,1009,3115,-143,596,5863,10371,6729,14082
2043,4692,16023,14354828,57639206,321,3600,1917,2906,-367,665,6194,9683,7744,13254
2044,4779,11920,13776143,39195249,285,2761,1578,3069,-472,884,6485,10234,7591,14187
2045,4236,13136,11829239,46343340,206,2483,1933,3323,-191,606,5780,10090,7522,14019
2046,3868,36680,11862608,145497621,235,6383,1676,3082,-436,571,5664,10545,6904,14198
2047,4114,7089,11694506,21516257,184,1957,1591,3968,-364,-118,4923,10092,6150,13942
2048,2159,10480,5870921,36985463,119,1913,2459,3478,-252,-332,5445,8906,7652,12052
2049,2249,5961,5897647,18117316,115,1515,1898,3569,-293,-434,4529,10115,6134,13250
2050,1477,6287,4063475,19880252,112,1580,1720,2732,-284,-818,4743,9351,6179,11265
