year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,3574,10060,141,7096,3433,2964,-32146,-35673,-10484,-7020,-531,-2278,-21131,-26375
2021,2147,7794,136,5319,2011,2475,45825,55677,10791,7889,2193,11255,32841,36533
2022,1824,12579,109,7354,1715,5225,30849,34280,-2009,-1717,1405,4832,31453,31165
2023,5797,8229,37,4220,5760,4009,24780,21885,4681,538,1412,6836,18687,14511
2024,7244,8757,13,6884,7231,1873,14870,17715,1641,63,510,4508,12719,13144
2025,5114,11898,92,8245,5022,3653,10389,13623,52,292,1084,3775,9253,9556
2026,7035,13019,105,10136,6930,2883,8331,12319,534,682,938,3147,6859,8490
2027,6510,13537,36,8827,6474,4710,8365,11626,731,693,735,2113,6899,8820
2028,7337,13319,25,9536,7312,3783,7170,12563,939,897,-663,1727,6894,9939
2029,6591,13554,65,9663,6526,3891,10818,15328,1692,1477,86,1912,9040,11939
2030,5212,13071,17,9635,5195,3436,6294,9137,2720,1769,-25,723,3599,6645
2031,6652,14287,66,8318,6586,5969,3903,7390,201,565,92,750,3610,6075
2032,6541,14901,49,10920,6492,3981,6197,10855,1680,1644,-150,1382,4667,7829
2033,6881,15534,48,11776,6833,3758,5537,9762,1651,1786,-255,855,4141,7121
2034,6074,16282,102,13219,5972,3063,8069,14279,1953,1946,-423,1714,6539,10619
2035,5499,14580,68,11014,5431,3566,6016,10874,1912,1972,-413,-419,4517,9321
2036,5149,17168,78,13775,5071,3393,7564,12808,1862,1837,-365,-62,6067,11033
2037,6073,15740,52,13530,6021,2210,7574,14123,2236,2269,-618,98,5956,11756
2038,6150,15735,201,14281,5949,1454,8049,12068,1415,1657,-370,-75,7004,10486
2039,5663,16368,40,15366,5623,1002,8385,11724,1700,2104,-584,43,7269,9577
2040,4657,14006,8,12771,4649,1235,7739,13301,1332,2136,-331,-481,6738,11646
2041,4726,20146,54,16728,4672,3418,6974,12717,1975,2549,-684,39,5683,10129
2042,5939,18220,10,14015,5929,4205,7050,13761,1707,2417,-103,556,5446,10788
2043,4900,13942,121,12857,4779,1085,7177,13821,1990,2833,-269,567,5456,10421
2044,4117,12204,7,10710,4110,1494,7198,14580,1847,2800,-427,839,5778,10941
2045,3808,13981,18,12147,3790,1834,7417,14124,1553,3703,-194,609,6058,9812
2046,3790,36987,6,34580,3784,2407,5495,15607,1231,3527,-374,509,4638,11571
2047,3886,5354,5,4693,3881,661,5318,14774,1588,3971,-406,-76,4136,10879
2048,3531,8562,17,7120,3514,1442,6673,13031,1901,4036,-233,-351,5005,9346
2049,1866,6126,8,5269,1858,857,6076,13308,2004,3463,-496,-231,4568,10076
2050,1928,6304,0,5388,1928,916,5920,11524,1449,3003,-207,-895,4678,9416
