year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,%_new_res_units,%_new_sf_units,%_new_mf_units,%_new_jobs,%_new_retail_jobs,%_new_industrial_jobs,%_new_office_jobs
2020,2026,6826,83,4271,1943,2555,-25162,-24323,-8388,-4969,-624,-2354,-16151,-17000,0.2288748305467691,0.01906293063849334,0.4319697643397065,0.5084773163584925,0.6279853260462679,0.20953660174613833,0.4871949564115713
2021,2102,6914,148,4415,1954,2499,36094,38228,8874,4381,1920,9236,25300,24612,0.23314108251996452,0.032434801665570896,0.43880529979788907,0.4856435510346869,0.6694832138815542,0.17210469702402295,0.5068921301490623
2022,2740,9418,156,6249,2585,3170,24712,20361,-1779,-1757,1292,4002,25199,18116,0.22536601414706367,0.024355971896955503,0.44917463075586445,0.548266146029774,0.5031108597285068,0.24404986777483945,0.5817615144868983
2023,6177,4594,39,3086,6138,1508,19917,14280,4063,-338,1164,5654,14690,8963,0.5734843561414911,0.01248,0.8027726916034528,0.5824195104833757,1.0907382550335571,0.17072455265473746,0.6210628672895616
2024,5644,4184,22,3404,5622,780,13712,10151,1752,-660,590,3554,11371,7256,0.5742775742775743,0.00642148277875073,0.8781630740393627,0.5746134182625823,1.6043956043956045,0.14237451737451737,0.610457937402695
2025,4899,3955,16,3031,4883,924,8686,8471,64,-215,899,3189,7723,5497,0.5533092387621414,0.005251066622907778,0.84088169450663,0.506265664160401,-0.423841059602649,0.2199119373776908,0.5841906202723147
2026,6304,5501,22,3911,6282,1590,7195,7915,451,193,787,2668,5957,5054,0.5340110122829309,0.0055936943808797355,0.7980182926829268,0.4761747187293183,0.7003105590062112,0.22778581765557163,0.5410044500953591
2027,6358,5296,9,4172,6350,1124,7111,7758,656,280,604,1788,5852,5691,0.5455637549339283,0.0021525950729490554,0.8496119882258496,0.47824332503867106,0.7008547008547008,0.2525083612040134,0.5069739235900546
2028,6091,6068,16,4283,6075,1784,6755,7448,920,292,-211,1074,6045,6082,0.5009458014639362,0.0037217957664573155,0.7729991093014379,0.4756037456875308,0.759075907590759,-0.24449594438006952,0.4984744784365466
2029,6090,6530,23,4768,6067,1761,9548,9134,1622,463,-91,1610,8018,7060,0.48256735340729,0.00480066791901482,0.775038323965253,0.511080184134461,0.777937649880096,-0.059907834101382486,0.5317681390104788
2030,4722,5944,25,4585,4696,1360,5444,5126,2507,671,-113,610,3050,3846,0.44271516969810615,0.005422993492407809,0.7754293262879789,0.515042573320719,0.7888609188168659,-0.22736418511066397,0.44228538283062646
2031,6536,7455,24,5736,6512,1719,3259,4567,231,96,-213,868,3240,3604,0.4671574583660925,0.004166666666666667,0.791155388166687,0.41643240480449784,0.7064220183486238,-0.3251908396946565,0.4734073641145529
2032,6273,7886,20,6286,6254,1600,5869,6282,1599,592,-346,1315,4616,4375,0.4430397626951056,0.003171582619727244,0.7962821492233257,0.48300551394946917,0.7298037425832953,-0.3570691434468524,0.513402291180069
2033,6094,8763,24,7267,6071,1496,4902,5703,1568,713,-431,805,3765,4185,0.4101770209328936,0.003291729529556988,0.8022994581736488,0.46223479490806224,0.6874177992108724,-1.1524064171122994,0.47358490566037736
2034,5636,9731,32,7686,5604,2045,7770,8403,1838,799,-379,1357,6311,6247,0.3667599401314505,0.004146151852811609,0.7326447901686495,0.4804303468744203,0.6970041714069017,-0.38752556237218816,0.50254817646122
2035,4732,7432,13,6021,4718,1411,5514,6031,1838,782,-586,-194,4262,5443,0.38901677079907926,0.002154458070931389,0.7697829988578887,0.4776093546990039,0.7015267175572519,0.7512820512820513,0.439155074703761
2036,5394,8693,44,6785,5350,1908,6955,7294,1608,879,-383,-80,5731,6494,0.38290622559806914,0.006443110265046127,0.7371176632681179,0.48810442838093904,0.646562123039807,0.8272138228941684,0.4687934560327198
2037,6030,8148,4,6597,6026,1550,6884,8227,1922,1159,-505,-67,5468,7134,0.42530681337283116,0.0006059687926071808,0.7954065469904963,0.4555621732512739,0.6238234339500163,0.8828671328671329,0.43389938105062686
2038,5933,8485,33,7207,5900,1278,7122,6756,1222,816,-457,-78,6358,6018,0.41149951449576916,0.004558011049723757,0.8219559765951518,0.5131863380890618,0.5996074582924436,0.8542056074766355,0.5137362637362637
2039,5133,9463,16,8156,5117,1306,7041,6658,1556,1022,-562,-74,6047,5710,0.35167169087421213,0.0019579050416054823,0.7966682235715398,0.5139791225636908,0.6035686578743211,0.8836477987421384,0.514331887386238
2040,4053,7338,25,6169,4028,1168,8168,6060,1354,914,-324,-562,7138,5708,0.3558072162233342,0.004036164029706167,0.775211701308699,0.5740792802923812,0.5970017636684304,0.3656884875846501,0.555659349213763
2041,5351,11529,54,9941,5298,1588,6308,7055,1788,1340,-539,-171,5059,5886,0.31700236966824646,0.005402701350675338,0.7693871623584083,0.4720496894409938,0.571611253196931,0.7591549295774648,0.46222019186843305
2042,6057,10100,11,8989,6046,1111,6660,7220,1592,1203,-301,447,5369,5570,0.37488395122856966,0.0012222222222222222,0.8447673606259606,0.47982708933717577,0.5695885509838998,-2.0616438356164384,0.4908126885455709
2043,4242,12357,13,11072,4229,1284,6787,7210,1983,1311,-306,323,5110,5576,0.2555575637086571,0.0011727559765448805,0.767095955015418,0.48488961920411516,0.6020036429872495,-18.0,0.4781957701665731
2044,4304,11742,25,10238,4279,1504,6483,7847,1766,1379,-474,569,5191,5899,0.2682288420790228,0.002435934911819156,0.739927373335639,0.4524075366364271,0.5615262321144674,-4.989473684210527,0.4680793507664563
2045,3674,11093,9,9060,3665,2034,7107,7036,2038,1568,-170,273,5239,5195,0.24879799553057494,0.0009923916639100231,0.643095279873662,0.5025100756558014,0.5651691625069329,-1.6504854368932038,0.5021084914701937
2046,4012,13238,6,11834,4006,1404,5974,7803,1330,1894,-437,326,5081,5584,0.23257971014492754,0.0005067567567567568,0.7404805914972273,0.4336212528126588,0.412531017369727,3.936936936936937,0.476418190342241
2047,3606,6544,10,5690,3596,853,5783,7237,1769,2059,-437,-159,4451,5337,0.3552709359605911,0.0017543859649122807,0.8082715216902675,0.44416282642089094,0.4621212121212121,0.7332214765100671,0.45474049856967713
2048,2282,5436,1,4804,2281,632,6929,5805,2251,1853,-234,-440,4913,4391,0.2956724540036279,0.0002081165452653486,0.783041537933402,0.5441338149835088,0.5484892787524367,0.34718100890207715,0.5280524505588994
