,parcel_id,parcel_id_REMM,county_id,zone_id,parcel_acres,land_value,max_far,max_dua,has_buildings,was_developed,was_redeveloped,developable,residential_units,job_spaces,building_sqft,non_residential_sqft,residential_sqft,unit_price_non_residential,res_price_per_sqft,is_sf,is_mf,is_industrial,is_retail,is_office,is_govt,is_mixeduse,is_other,year_built,building_count,households_count,non_res_value,res_value,total_value,job_spaces_added,res_units_added,acreage_dev,acreage_redev,acreage_dev_res,acreage_redev_res,acreage_dev_nonres,acreage_redev_nonres,res_units_added_dev,res_units_added_redev,value_added_dev,value_added_redev,value_added_dev_res,value_added_dev_nonres
115067,525375,525375,57,200,0.581717515,33795.0,1.0,25.0,1,0,1,1.0,11.0,0.0,25339.61497,0.0,25339.61497,0.0,48.21311580197092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1221701.7909259659,1255496.7909259659,0.0,10.0,,0.581717515,,0.581717515,,,,10.0,,1116909.8351989659,,
115112,466015,466015,57,270,0.7828398440000001,67990.0,0.0,2.5548009780000003,1,0,1,1.0,2.0,0.0,5115.0755445,0.0,5115.0755445,0.0,61.882904467506286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,316535.7312643712,384525.7312643712,0.0,1.0,,0.7828398440000001,,0.7828398440000001,,,,1.0,,261414.7312682112,,
115116,557222,557222,57,270,1.4489188780000002,78345.0,0.0,2.760679055,1,0,1,1.0,4.0,0.0,9467.235951,0.0,9467.235951,0.0,67.21532817561862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,636343.3713624798,714688.3713624799,0.0,3.0,,1.4489188780000002,,1.4489188780000002,,,,3.0,,514804.31849075976,,
115244,520936,520936,57,320,0.154310442,20000.0,2.0,30.0,1,0,1,1.0,5.0,0.0,10082.644310999998,0.0,10082.644310999998,0.0,55.679360394007034,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,561395.1863167536,581395.1863167536,0.0,4.0,,0.154310442,,0.154310442,,,,4.0,,518309.18631659367,,
116622,497631,497631,57,198,8.483762216,151050.0,0.0,7.897439638,1,0,1,1.0,55.0,0.0,110865.80462999998,0.0,110865.80462999998,0.0,61.99604600388816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,6873241.524099556,7024291.524099556,0.0,54.0,,8.483762216,,8.483762216,,,,54.0,,6760277.5240945965,,
116765,476513,476513,57,209,0.70341782,82071.0,0.0,20.0,1,0,1,1.0,13.0,0.0,22980.660165,0.0,22980.660165,0.0,52.839395305373316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1214284.1868368804,1296355.1868368804,0.0,12.0,,0.70341782,,0.70341782,,,,12.0,,-72346738.50080353,,
117023,533566,533566,57,347,0.299924766,30480.0,0.0,6.668338959,1,0,1,1.0,2.0,0.0,3266.1806975,0.0,3266.1806975,0.0,66.23065984291597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,216321.30276162052,246801.30276162052,0.0,1.0,,0.299924766,,0.299924766,,,,1.0,,150539.39766362053,,
117027,528431,528431,57,347,0.268305619,37000.0,0.0,7.454186038,1,0,1,1.0,2.0,0.0,3506.2178310000004,0.0,3506.2178310000004,0.0,63.76779696613022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,223583.78676623348,260583.7867662335,0.0,1.0,,0.268305619,,0.268305619,,,,1.0,,137715.8097432335,,
117052,557194,557194,57,270,1.626990296,84795.0,0.0,2.458527263,1,0,1,1.0,3.0,0.0,7087.169730000001,0.0,7087.169730000001,0.0,66.65608431543272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,472402.98308066255,557197.9830806628,0.0,2.0,,1.626990296,,1.626990296,,,,2.0,,372347.8838270927,,
117705,481024,481024,57,300,0.388147161,29260.0,0.0,7.729027287,1,0,1,1.0,3.0,0.0,5072.307102000001,0.0,5072.307102000001,0.0,70.28256864100743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,356494.77206458437,385754.77206458437,0.0,2.0,,0.388147161,,0.388147161,,,,2.0,,299254.7720620844,,
