;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
141,570141,148.0,412.55524506920153,2.787535439656766,955.0,2.0,730.0,223.0,1242.1747232855573,0.0,2.0,730.0,0.0,16.0,185.0,1.0,21.0,96.40167364016735,180.77304964539002,0.0,10.0,60843,0.0,0.0,0.0,57,WEBER
142,570142,33.0,96.95542929683872,2.938043312025416,0.0,0.0,0.0,0.0,16.05857740585774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05857740585774,0.0,0.0,2.0,60843,0.0,0.0,0.0,57,WEBER
143,570143,51.0,152.3585317521751,2.987422191219121,1.0,0.0,1.0,0.0,25.08786610878661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.08786610878661,0.0,0.0,3.0,60843,0.0,0.0,0.0,57,WEBER
144,570144,34.0,92.0087237204694,2.706138932954982,0.0,0.0,0.0,0.0,23.059296460814082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05857740585774,0.0,7.000719054956344,2.0,66989,0.0,0.0,0.0,57,WEBER
145,570145,184.0,541.1695900548038,2.9411390763848035,0.0,0.0,0.0,0.0,82.05606436680829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.050209205020918,0.0,57.00585516178737,13.0,66989,0.0,0.0,0.0,57,WEBER
146,570146,75.0,219.63372759079792,2.928449701210639,3.0,0.0,1.0,2.0,42.04838771374479,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.046025104602512,0.0,23.002362609142274,5.0,66989,0.0,0.0,0.0,57,WEBER
147,570147,136.0,435.3100907205004,3.2008094905919147,3.0,0.0,0.0,3.0,80.06412440123525,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.05857740585774,0.0,54.00554699537751,9.0,66989,0.0,0.0,0.0,57,WEBER
148,570148,261.0,801.3663033718303,3.0703689784361314,205.0,17.0,10.0,178.0,261.0324730891641,15.0,2.0,4.0,6.0,12.0,148.0,7.0,11.0,7.02928870292887,0.0,31.003184386235237,18.0,82188,0.0,0.0,0.0,57,WEBER
149,570149,408.0,1278.2287209338326,3.1329135317005705,48.0,0.0,0.0,48.0,205.0622276950055,0.0,0.0,0.0,0.0,21.0,5.0,5.0,17.0,12.050209205020918,0.0,117.0120184899846,28.0,82191,0.0,0.0,0.0,57,WEBER
150,570150,531.0,1774.8779608013128,3.3425197001907963,397.0,124.0,86.0,187.0,433.0,120.0,4.0,14.0,72.0,21.0,82.0,0.0,84.0,0.0,0.0,0.0,36.0,82684,0.0,0.0,0.0,57,WEBER
151,570151,242.0,808.2916911787472,3.3400483106559813,171.0,18.0,15.0,138.0,190.00836820083683,15.0,3.0,4.0,11.0,10.0,90.0,20.0,18.0,2.00836820083682,0.0,0.0,17.0,82427,921.0,0.0,0.0,57,WEBER
152,570152,507.0,1616.5833823574949,3.1885273813757284,91.0,0.0,22.0,69.0,187.02259156346102,0.0,0.0,19.0,3.0,6.0,26.0,24.0,13.0,4.01673640167364,0.0,57.00585516178737,35.0,82684,0.0,1163.0,0.0,57,WEBER
153,570153,14.0,32.64825680403753,2.332018343145538,4.0,0.0,0.0,4.0,22.07112970711297,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,17.07112970711297,0.0,0.0,1.0,60843,0.0,0.0,0.0,57,WEBER
154,570154,57.0,180.06008297984334,3.1589488242077786,5.0,0.0,1.0,4.0,100.1113821714772,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,25.104602510460246,0.0,66.00677966101695,4.0,60843,0.0,0.0,0.0,57,WEBER
155,570155,120.0,383.86435272625937,3.198869606052162,11.0,0.0,0.0,11.0,62.179916317991626,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,43.179916317991626,0.0,0.0,8.0,60843,0.0,0.0,0.0,57,WEBER
156,570156,110.0,347.2587314611264,3.1568975587375134,12.0,0.0,1.0,11.0,51.129707112970706,0.0,0.0,1.0,0.0,2.0,2.0,5.0,2.0,31.12970711297071,0.0,0.0,8.0,60843,0.0,0.0,0.0,57,WEBER
157,570157,46.0,110.80620491067282,2.4088305415363656,7.0,0.0,0.0,7.0,42.13389121338912,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,32.13389121338912,0.0,0.0,3.0,60843,0.0,0.0,0.0,57,WEBER
158,570158,234.0,670.7732761556803,2.866552462203761,76.0,21.0,8.0,47.0,112.01837995585957,0.0,21.0,3.0,5.0,12.0,5.0,14.0,16.0,4.01673640167364,0.0,16.00164355418593,16.0,56064,768.0,0.0,0.0,57,WEBER
159,570159,528.0,1593.8285367061953,3.018614652852643,212.0,0.0,4.0,208.0,290.0818605170921,0.0,0.0,1.0,3.0,11.0,181.0,7.0,9.0,19.07949790794979,0.0,23.002362609142274,36.0,60183,0.0,0.0,1997.0,57,WEBER
160,570160,82.0,217.6550453602502,2.6543298214664657,13.0,0.0,0.0,13.0,30.029699591475353,0.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,7.02928870292887,0.0,4.000410888546482,6.0,74507,0.0,0.0,0.0,57,WEBER
161,570161,251.0,692.5387806917051,2.7591186481741237,4.0,0.0,0.0,4.0,71.0132988633946,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.00836820083682,0.0,48.00493066255778,17.0,74507,0.0,0.0,0.0,57,WEBER
162,570162,642.0,1482.032990680249,2.308462602305684,915.0,48.0,502.0,365.0,1038.0774984795835,46.0,2.0,355.0,147.0,14.0,188.0,50.0,113.0,17.07112970711297,0.0,62.00636877247047,44.0,74507,0.0,0.0,0.0,57,WEBER
163,570163,9.0,23.744186766572746,2.6382429740636386,42.0,0.0,1.0,41.0,44.00418410041841,0.0,0.0,1.0,0.0,0.0,8.0,2.0,31.0,1.00418410041841,0.0,0.0,1.0,74507,0.0,0.0,0.0,57,WEBER
164,570164,30.0,89.04070037464778,2.968023345821593,4.0,0.0,0.0,4.0,16.009189977929786,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.00836820083682,0.0,8.000821777092964,2.0,74507,0.0,0.0,0.0,57,WEBER
165,570165,29.0,71.23256029971823,2.456295182748905,109.0,30.0,3.0,76.0,112.00418410041841,30.0,0.0,3.0,0.0,4.0,51.0,0.0,21.0,1.00418410041841,0.0,0.0,2.0,74507,0.0,0.0,0.0,57,WEBER
166,570166,94.0,258.21803108647856,2.7470003307072197,5.0,0.0,0.0,5.0,42.129707112970706,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,31.12970711297071,0.0,0.0,6.0,68646,0.0,0.0,0.0,57,WEBER
167,570167,23.0,56.39244357061028,2.4518453726352294,4.0,0.0,0.0,4.0,24.07531380753138,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,18.07531380753138,0.0,0.0,2.0,68532,0.0,0.0,0.0,57,WEBER
168,570168,99.0,279.9835356225037,2.8281165214394313,29.0,11.0,5.0,13.0,62.10878661087866,11.0,0.0,2.0,3.0,6.0,2.0,2.0,3.0,26.10878661087866,0.0,0.0,7.0,68532,0.0,0.0,0.0,57,WEBER
169,570169,165.0,443.22481964269133,2.6862110281375227,78.0,0.0,0.0,78.0,117.11715481171548,0.0,0.0,0.0,0.0,3.0,62.0,12.0,1.0,28.11715481171548,0.0,0.0,11.0,68532,0.0,0.0,0.0,57,WEBER
170,570170,9.0,32.64825680403753,3.6275840893375033,2.0,0.0,1.0,1.0,10.021125946365292,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.02092050209205,0.0,2.000205444273241,1.0,74607,0.0,0.0,0.0,57,WEBER
171,570171,53.0,156.31589621327058,2.9493565323258597,1.0,0.0,0.0,1.0,30.104602510460246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.104602510460246,0.0,0.0,4.0,74607,0.0,0.0,0.0,57,WEBER
172,570172,77.0,207.76163420751155,2.698203041655994,0.0,0.0,0.0,0.0,8.01255230125523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0125523012552295,0.0,0.0,5.0,74607,0.0,0.0,0.0,57,WEBER
173,570173,218.0,603.4980803170573,2.7683398179681533,537.0,209.0,22.0,306.0,609.1201337536775,178.0,31.0,22.0,0.0,113.0,28.0,28.0,137.0,28.11715481171548,0.0,29.002978941961995,15.0,74607,0.0,0.0,0.0,57,WEBER
174,570174,8.0,26.712210112394338,3.3390262640492927,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80065,0.0,0.0,0.0,57,WEBER
175,570175,9.0,18.797481190203428,2.088609021133714,0.0,0.0,0.0,0.0,110.11552962003736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.11347517730495,20.002054442732412,1.0,80065,0.0,0.0,0.0,57,WEBER
176,570176,466.0,1373.2054680001238,2.946792849785673,15.0,0.0,1.0,14.0,197.02765245533845,0.0,0.0,1.0,0.0,4.0,1.0,5.0,4.0,3.0125523012552295,0.0,147.01510015408323,32.0,80065,0.0,0.0,0.0,57,WEBER
177,570177,256.0,774.6540932594359,3.0259925517946717,786.0,162.0,412.0,212.0,1070.0355895670414,10.0,152.0,403.0,9.0,54.0,116.0,6.0,36.0,2.00836820083682,0.0,265.02722136620446,17.0,74269,0.0,0.0,0.0,57,WEBER
178,570178,572.0,1807.5262176053507,3.160010869939424,766.0,24.0,377.0,365.0,862.0262620531963,22.0,2.0,235.0,142.0,24.0,67.0,137.0,137.0,5.02092050209205,0.0,52.005341551104266,39.0,74269,0.0,0.0,0.0,57,WEBER
179,570179,263.0,931.9593305879804,3.5435715991938417,52.0,14.0,19.0,19.0,74.01673640167364,14.0,0.0,12.0,7.0,3.0,3.0,2.0,11.0,4.01673640167364,0.0,0.0,18.0,74269,0.0,0.0,0.0,57,WEBER
180,570180,18.0,55.40310245533641,3.077950136407578,0.0,0.0,0.0,0.0,12.001129943502827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.001129943502827,1.0,82031,0.0,0.0,0.0,57,WEBER
181,570181,95.0,301.74904015852866,3.176305685879248,13.0,0.0,9.0,4.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,82031,0.0,0.0,0.0,57,WEBER
182,570182,83.0,233.484503204632,2.813066303670265,5.0,0.0,0.0,5.0,331.0328710837186,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,320.0328710837186,6.0,75428,0.0,0.0,0.0,57,WEBER
183,570183,855.0,2698.922562467102,3.156634575984915,398.0,2.0,13.0,383.0,459.00030816640987,1.0,1.0,7.0,6.0,18.0,278.0,59.0,28.0,0.0,0.0,3.0003081664098614,58.0,89059,583.0,0.0,1895.0,57,WEBER
184,570184,887.0,2691.997174660185,3.0349460819167815,11.0,0.0,5.0,6.0,90.00184899845917,0.0,0.0,5.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,18.00184899845917,61.0,75428,0.0,0.0,0.0,57,WEBER
185,570185,407.0,955.7035173545532,2.3481658903060274,77.0,1.0,0.0,76.0,114.00908725579318,0.0,1.0,0.0,0.0,8.0,3.0,9.0,56.0,2.00836820083682,0.0,7.000719054956344,28.0,47778,0.0,0.0,0.0,57,WEBER
186,570186,161.0,428.3847029135834,2.6607745522582817,499.0,138.0,4.0,357.0,530.0142985775778,47.0,91.0,3.0,1.0,47.0,52.0,126.0,132.0,3.0125523012552295,0.0,17.00174627632255,11.0,47778,0.0,0.0,0.0,57,WEBER
187,570187,600.0,1935.151221475679,3.2252520357927983,150.0,0.0,0.0,150.0,241.00513610683103,0.0,0.0,0.0,0.0,23.0,81.0,28.0,18.0,0.0,0.0,50.005136106831024,41.0,85949,753.0,0.0,0.0,57,WEBER
188,570188,176.0,564.9137768213767,3.2097373683032764,2.0,0.0,0.0,2.0,16.00020544427324,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.000205444273241,12.0,84050,0.0,0.0,0.0,57,WEBER
